Pays;Population;Superficie
Allemagne;81197537;357.3
Autriche;8576261;83.9
Belgique;11258434;30.5
Bulgarie;7202198;111
Chypre;847008;9.3
Croatie;4225316;56.5
Danemark;5659715;42.9
Espagne;46449565;506
Estonie;1313271;45.2
Finlande;5471753;338.4
France;66415161;632.8
Grèce;10858018;132
Hongrie;9855571;93
Irlande;4628949;69.8
Italie;60795612;302.1
Lettonie;1986096;64.6
Lituanie;2921262;65.3
Luxembourg;562958;2.6
Malte;429344;0.3
Pays-Bas;16900726;41.5
Pologne;38005614;312.7
Portugal;10374822;92.2
République tchèque;10538275;78.9
Roumanie;19870647;238.4
Royaume-Uni;64875165;248.5
Slovaquie;5421349;49
Slovénie;2062874;20.3
Suède;9747355;438.6
